"SSN","Site","Cluster","Plot","Depth","Longitude","Latitude","SSN.XRPD","Quartz","Kaolinite","Goethite","K-feldspar","Plagioclase","Smectite (ML)","Organic matter","Halloysite","Mica (Tri)","Gibbsite","Ferrihydrite","Illite","Opal","Glass","Pyroxene","Ilmenite","Amphibole","Hematite","Maghemite","Vermiculite","Dickite","Muscovite","Mica (Di)","Magnetite","Calcite","Magnesite","Rutile","Smectite (Di)","Anatase","Olivine","Anhydrite","Apatite","Ankerite","Glauconite","Corundum","Palygorskite","Humic","Bassanite","Dolomite","Gypsum","Cristobalite","Siderite","Background"
"icr033593","Mbalambala",16,8,"Subsoil",39.06327438,-0.089757,"icr033583",8.2603,5.8647,8.2346,9.2162,23.3043,11.2421,5.4103,9.1906,7.6496,0,2.6788,0,0,0,1.3629,0.6637,5.4641,0.7621,0,0,0,0,0,0,0,0.5231,0,0,0.1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"icr033598","Mbalambala",16,14,"Topsoil",39.06158447,-0.086252,"icr033582",6.6333,6.2489,7.4287,7.9668,21.4448,14.3881,5.4201,8.0312,4.1808,0,4.1246,2.1621,1.6526,0,1.1987,0,4.3352,0.5421,0,0,1.2885,0,0,0,0.6823,0.6823,0.3547,0,0.2364,0,0,0.5984,0.3984,0,0,0,0,0,0,0,0,0,0.0012
"icr033599","Mbalambala",16,14,"Subsoil",39.06158447,-0.086252,"icr033583",8.2603,5.8647,8.2346,9.2162,23.3043,11.2421,5.4103,9.1906,7.6496,0,2.6788,0,0,0,1.3629,0.6637,5.4641,0.7621,0,0,0,0,0,0,0,0.5231,0,0,0.1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"icr033634","Mega",2,14,"Topsoil",38.2612915,4.17119789,"icr033621",24.9696,0,6.3481,8.9712,16.6636,9.6253,0,0,4.848,0,0,3.3367,0,0,8.5778,1.0826,2.9359,0,0,0,0,0,0,0,7.3958,0,0,0,0,5.0724,0,0,0,0,0,0,0,0,0,0,0.1719,0,8e-04
"icr033635","Mega",2,14,"Subsoil",38.2612915,4.17119789,"icr033622",23.4134,0,7.4208,7.7662,16.1401,11.5522,1.8815,0,0,0,0,5.4273,0,0,7.1588,0.9223,3.194,0,0,0,0,0,0,0.3854,10.5178,0,0,0,0,4.2195,0,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr033664","Mega",4,6,"Topsoil",38.26822662,4.2133522,"icr033656",18.7833,0,5.8015,7.8535,24.6398,21.476,5.0461,0,0,0,2.4082,3.0877,0,0,3.5778,1.0878,2.0237,0.7747,0,0,0,0,0,0.6923,0.4169,0,0,0,0.1844,0,0,0,0,0,0,1.9011,0,0,0,0,0.2446,0,4e-04
"icr033665","Mega",4,6,"Subsoil",38.26822662,4.2133522,"icr033657",17.38,0,4.7392,7.3012,23.565,23.119,3.1042,0,0,0,0.6938,4.6312,0,0,3.2444,1.0964,2.1295,0.692,0,0,0,0,0,0.6782,3.801,0,0,0,0,1.2392,0,0,0,0,0,2.1018,0,0,0.4833,0,0,0,6e-04
"icr033819","Mega",12,5,"Topsoil",38.3169632,4.21460199,"icr033811",16.2898,2.0829,6.2395,8.1213,15.8705,33.357,3.8664,0,0,0,2.2644,4.0598,0,0,3.6655,0.967,0.8919,0.8789,0,0,0,0,0,0,1.2718,0,0,0,0.1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr033820","Mega",12,5,"Subsoil",38.3169632,4.21460199,"icr033812",14.2263,0,6.9595,6.5979,13.2509,36.127,5.319,0,0,0,2.4378,4.4117,0,0,3.4505,0,1.0064,0.8626,0,0,0,0,0,0,3.7493,0.7618,0,0,0.2744,0,0,0,0,0,0,0,0,0.5656,0,0,0,0,-4e-04
"icr037453","Finnkolo",3,1,"Topsoil",-5.534058333,11.32941667,"icr037453",86.5838,8.4369,3.551,0,0,0,0,0,0.125,0,1.3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr037454","Finnkolo",3,1,"Subsoil",-5.534058333,11.32941667,"icr037454",77.1999,13.0618,5.0242,0,0,0,0,0,2.1807,0,2.4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1218,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr037531","Finnkolo",7,1,"Topsoil",-5.518538333,11.32956833,"icr037531",85.2212,6.0186,2.6202,0,0,0,1.2347,0,4.206,0,0,0,0,0,0,0,0,0.5535,0,0,0,0,0,0,0,0,0,0,0.1457,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr037532","Finnkolo",7,1,"Subsoil",-5.518538333,11.32956833,"icr037532",78.8626,10.7961,3.7064,0,0,0,0,0,4.5905,0,1.2669,0,0,0,0,0,0,0.6283,0,0,0,0,0,0,0,0,0,0,0.1491,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr037574","Finnkolo",9,5,"Topsoil",-5.486493333,11.28301667,"icr037574",90.4191,6.5283,1.5928,0,0,0,0,0,0.3565,0,0.5886,0,0,0,0,0,0,0.5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr037575","Finnkolo",9,5,"Subsoil",-5.486493333,11.28301667,"icr037575",90.4536,4.7567,2.1923,0,0,0,0,0,0.8255,0,1.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr037927","Bana",10,1,"Topsoil",10.26777667,5.25545667,"icr037927",28.8485,14.2937,8.2563,11.7416,3.2073,2.1021,7.1022,6.4004,2.1095,3.0361,7.2067,0,2.6954,0,0,0,0,1.0631,0,0,0,0,0,0,0,0.785,0,0,0.5127,0,0.6375,0,0,0,0,0,0,0,0,0,0,0,0.0017
"icr037928","Bana",10,1,"Subsoil",10.26777667,5.25545667,"icr037928",34.5454,12.6335,8.7741,13.8391,4.2817,2.3064,4.1624,5.508,0,2.9751,3.6074,0,2.1156,0,0,0.8601,0.768,0.5196,2.0382,0,0,0,0,0,0,0,0,0,0.4846,0,0.5796,0,0,0,0,0,0,0,0,0,0,0,0.0013
"icr037986","Bana",13,1,"Topsoil",10.28871167,5.233795,"icr037986",8.0098,9.5781,22.2039,1.2164,0.8604,0,0,14.6063,0,11.8006,0,6.2978,3.8623,0,1.4192,0,1.7392,3.6549,5.9859,0,1.8427,0,0,0.5848,0,2.0448,0.6293,0,1.5083,0,1.2812,0.8682,0,0,0,0,0,0,0,0,0,0,0.006
"icr037987","Bana",13,1,"Subsoil",10.28871167,5.233795,"icr037987",7.1613,18.0591,17.272,1.0172,0,0,0,10.6005,0,13.3013,0,5.4604,5.2327,0,1.5798,0.8248,1.0275,3.4077,8.4261,0,0,0,0,0.9529,0,1.7669,0.3061,0,1.4136,0,1.176,1.0072,0,0,0,0,0,0,0,0,0,0,0.0069
"icr038147","Kutaber",3,8,"Topsoil",39.57326889,11.30547237,"icr038138",2.432,0,4.0157,9.2351,19.295,26.4586,0,5.6227,0,0,0,0,6.3665,0,4.7067,4.3913,2.1322,0,0,8.0785,0,0,0,1.4992,0.804,1.0255,0.9456,0,0,1.2438,0,0,0.5978,0,0,0,0,1.1474,0,0,0,0,0.0025
"icr038148","Kutaber",3,8,"Subsoil",39.57326889,11.30547237,"icr038139",2.6532,0,5.7643,6.5635,21.0858,23.4231,2.7863,5.5737,0,0,0,0,4.6737,0,4.3981,3.8221,1.9583,0,1.7918,9.3535,0,0,0,1.2454,0.9207,1.4852,0.4835,0,0,0,0,0.7845,0.3057,0,0,0,0,0.9254,0,0,0,0,0.0022
"icr038218","Kutaber",7,6,"Topsoil",39.59435272,11.30890274,"icr038216",2.0221,0,7.7864,7.5192,9.8859,29.7513,0,15.9894,0,0,0,0,3.9279,0,4.9387,1.004,1.4051,0.459,0,8.8954,0,0,0,3.969,0.6642,0.8376,0,0,0.1446,0,0,0.7965,0,0,0,0,0,0,0,0,0,0,0.0038
"icr038219","Kutaber",7,6,"Subsoil",39.59435272,11.30890274,"icr038216",2.0221,0,7.7864,7.5192,9.8859,29.7513,0,15.9894,0,0,0,0,3.9279,0,4.9387,1.004,1.4051,0.459,0,8.8954,0,0,0,3.969,0.6642,0.8376,0,0,0.1446,0,0,0.7965,0,0,0,0,0,0,0,0,0,0,0.0038
"icr038227","Kutaber",8,1,"Topsoil",39.59209442,11.32841492,"icr038234",2.0971,0,0,4.8439,17.3489,31.6543,0,0,0,0,0,0,5.4747,0,3.3321,3.2406,0.8762,0,0,23.5555,0,0,0,1.0206,0.9845,2.4336,0,0,0,1.0897,0,1.1005,0,0,0,0,0,0.9446,0,0,0,0,0.0032
"icr038228","Kutaber",8,1,"Subsoil",39.59209442,11.32841492,"icr038235",1.6782,0,0,5.51,16.4654,32.5237,0,0,0,0,0,0,5.9041,0,3.9532,3.5726,0,0,2.9913,21.3661,0,0,0,0.787,0.7554,2.2322,0,0,0,0,0,1.1571,0,0,0,0,0,0.6306,0,0.4697,0,0,0.0032
"icr038242","Kutaber",8,10,"Topsoil",39.59540176,11.33280659,"icr038234",2.0971,0,0,4.8439,17.3489,31.6543,0,0,0,0,0,0,5.4747,0,3.3321,3.2406,0.8762,0,0,23.5555,0,0,0,1.0206,0.9845,2.4336,0,0,0,1.0897,0,1.1005,0,0,0,0,0,0.9446,0,0,0,0,0.0032
"icr038243","Kutaber",8,10,"Subsoil",39.59540176,11.33280659,"icr038235",1.6782,0,0,5.51,16.4654,32.5237,0,0,0,0,0,0,5.9041,0,3.9532,3.5726,0,0,2.9913,21.3661,0,0,0,0.787,0.7554,2.2322,0,0,0,0,0,1.1571,0,0,0,0,0,0.6306,0,0.4697,0,0,0.0032
"icr038299","Kutaber",12,1,"Topsoil",39.61781311,11.33362484,"icr038305",0,0,0,10.7722,25.676,33.4818,0,0,0,0,0,0,4.2388,0,3.2237,1.7582,0,0.5422,0,12.3438,0,0,0,0.4083,0.8389,1.2882,0.9534,0,0,1.631,0,1.7641,0.3582,0,0,0,0,0.7205,0,0,0,0,5e-04
"icr038300","Kutaber",12,1,"Subsoil",39.61781311,11.33362484,"icr038306",0,0,0,8.7192,25.3275,38.8469,0,0,0,0,0,0,3.4664,0,4.1249,1.6064,0,0.6162,0,11.5702,0,0,0,0.3732,0.9461,1.4388,0.7845,0,0,0,0,2.1796,0,0,0,0,0,0,0,0,0,0,1e-04
"icr038302","Kutaber",12,6,"Topsoil",39.61585617,11.33428001,"icr038305",0,0,0,10.7722,25.676,33.4818,0,0,0,0,0,0,4.2388,0,3.2237,1.7582,0,0.5422,0,12.3438,0,0,0,0.4083,0.8389,1.2882,0.9534,0,0,1.631,0,1.7641,0.3582,0,0,0,0,0.7205,0,0,0,0,5e-04
"icr038303","Kutaber",12,6,"Subsoil",39.61585617,11.33428001,"icr038306",0,0,0,8.7192,25.3275,38.8469,0,0,0,0,0,0,3.4664,0,4.1249,1.6064,0,0.6162,0,11.5702,0,0,0,0.3732,0.9461,1.4388,0.7845,0,0,0,0,2.1796,0,0,0,0,0,0,0,0,0,0,1e-04
"icr041679","Marafa",3,1,"Topsoil",39.51435852,-2.62334704,"icr041679",47.1607,0,2.8367,9.9452,6.118,10.06,4.51,0,5.0317,0,1.8893,11.487,0,0,0,0,0.7663,0,0,0,0,0,0,0,0,0,0,0,0.1953,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr041680","Marafa",3,1,"Subsoil",39.51435852,-2.62334704,"icr041680",39.6118,0,2.9957,8.5837,5.9656,14.5227,3.8892,0,0,0,2.3108,10.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.907,0.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr041789","Marafa",8,6,"Topsoil",39.53932953,-2.59726691,"icr041779",51.1919,0,2.2856,10.4329,9.2358,8.8919,3.5794,0,2.7613,0,1.1462,9.5878,0,0,0,0.8872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04
"icr041790","Marafa",8,6,"Subsoil",39.53932953,-2.59726691,"icr041780",44.3521,0,3.3488,9.4272,9.532,10.4775,5.0751,0,1.5007,0,1.0342,12.104,0,0,0,0.8109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3379,0,0,0,0,0,0,0,0,-2e-04
"icr041898","Marafa",14,2,"Topsoil",39.57897949,-2.64556789,"icr041898",72.9768,1.7163,0,0,1.916,19.9315,0,0,2.9286,0,0.5319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011
"icr041899","Marafa",14,2,"Subsoil",39.57897949,-2.64556789,"icr041899",67.2507,7.6909,3.8184,0,1.4797,2.4045,1.612,0,4.1527,0,2.279,9.1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr041992","Morijo",1,4,"Topsoil",35.7769928,-1.75783205,"icr041987",23.2716,2.1008,0,6.6473,6.2749,9.0563,13.4857,0,0,0,0,0,1.9722,27.6551,0,0,0,0,0,0,0,0,0,0,0,0,0,8.962,0,0,0,0.5739,0,0,0,0,0,0,0,0,0,0,3e-04
"icr041993","Morijo",1,4,"Subsoil",35.7769928,-1.75783205,"icr041988",19.152,2.59,0,8.346,7.4839,13.0307,14.1299,0,0,0,0,0,2.2419,20.4411,0,0,1.2686,0,0,0,0,0,0,0,0,0,0.3175,10.2069,0,0,0,0.7912,0,0,0,0,0,0,0,0,0,0,3e-04
"icr042024","Morijo",3,1,"Topsoil",35.78072357,-1.70595801,"icr042024",57.15,0,0,8.3211,2.2328,4.0767,10.235,4.1478,0,0,0,0,2.1806,10.1925,0,0.8261,0,0,0,0,0,0,0,0,0,0,0.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04
"icr042025","Morijo",3,1,"Subsoil",35.78072357,-1.70595801,"icr042025",49.9236,0,0,9.3971,2.31,5.0806,11.2707,5.6215,0,0,0.8048,0,2.4709,9.5994,0,1.0146,0,0,0,0,0,0,1.7472,0,0,0,0.7591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04
"icr042074","Morijo",5,9,"Topsoil",35.79964447,-1.75745797,"icr042062",32.2425,6.482,5.0433,9.1318,3.9526,3.2271,8.5729,8.0668,0,0,3.5607,0,2.0434,0,0,1.2172,0.9206,1.2983,0,0,1.2652,0,0,0,0,0.5192,0.8436,11.2364,0.3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018
"icr042075","Morijo",5,9,"Subsoil",35.79964447,-1.75745797,"icr042063",32.3921,5.8092,4.1192,9.0295,3.9432,3.6011,8.0816,13.1799,0,0,3.4542,3.1978,4.464,0,0,1.158,0.997,1.3571,0,0,0,2.8532,0,0,0,0,1.2145,0,0.2994,0,0.4116,0.4352,0,0,0,0,0,0,0,0,0,0,0.002
"icr042082","Morijo",6,3,"Topsoil",35.80267715,-1.72688997,"icr042078",46.5184,0,0,5.3052,6.7683,28.3945,0,0,0,0,0,0,5.8218,0,0,0.6108,0,0,0,5.5692,0,0,0,0,0.4434,0,0.5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001
"icr042083","Morijo",6,3,"Subsoil",35.80267715,-1.72688997,"icr042079",40.9655,0,0,6.2062,5.2988,38.9829,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9371,0,0,0,0,1.6845,0,0.5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3713,0,-0.002
"icr042108","Morijo",7,7,"Topsoil",35.79957581,-1.70866501,"icr042098",62.6668,0,0,4.3889,1.7104,24.8504,0,0,0,0,0,0,2.6337,0,0,0,0,0,0,2.9099,0,0,0,0,0.3993,0,0.4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9e-04
"icr042109","Morijo",7,7,"Subsoil",35.79957581,-1.70866501,"icr042099",53.7752,0,0,4.5189,2.7791,26.9705,0,0,0,0,0,0,4.7933,0,0,0,0,0,0,4.8174,0,0,0,0,1.2784,0.6261,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8e-04
"icr042113","Morijo",7,10,"Topsoil",35.80049515,-1.70868194,"icr042098",62.6668,0,0,4.3889,1.7104,24.8504,0,0,0,0,0,0,2.6337,0,0,0,0,0,0,2.9099,0,0,0,0,0.3993,0,0.4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9e-04
"icr042114","Morijo",7,10,"Subsoil",35.80049515,-1.70868194,"icr042099",53.7752,0,0,4.5189,2.7791,26.9705,0,0,0,0,0,0,4.7933,0,0,0,0,0,0,4.8174,0,0,0,0,1.2784,0.6261,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8e-04
"icr042117","Morijo",8,2,"Topsoil",35.80121613,-1.67825699,"icr042115",24.1354,7.4639,4.7654,9.2245,3.126,1.5874,10.9791,10.4495,8.3728,0,2.5051,3.8581,2.3922,0,0,0.8867,1.1755,1.3617,2.1991,0,0,0,1.9017,0,0,0.7364,0.9224,0,0.3053,0,0.5107,0.7506,0,0,0,0,0,0,0.3884,0,0,0,0.0021
"icr042118","Morijo",8,2,"Subsoil",35.80121613,-1.67825699,"icr042116",22.6951,7.2969,7.0305,8.9955,2.7603,2.7356,5.0879,15.5788,4.6741,0,2.3367,6.6747,3.7084,0,0,0.7549,0.9471,1.6847,3.3462,0,0,0,0,0,0,0.726,1.0173,0,0.409,0,1.0811,0.4566,0,0,0,0,0,0,0,0,0,0,0.0026
"icr042141","Morijo",9,5,"Topsoil",35.8225708,-1.75320995,"icr042134",30.9956,4.3794,0,12.8627,5.377,5.269,14.6893,8.3598,1.1487,0,2.4133,1.9776,3.6609,0,0,1.2837,1.644,1.09,0,0,0,2.5415,0,0,0,0,1.0114,0,0.2414,0,0.4995,0.5536,0,0,0,0,0,0,0,0,0,0,0.0018
"icr042142","Morijo",9,5,"Subsoil",35.8225708,-1.75320995,"icr042135",30.4531,4.6592,2.0108,11.453,5.4461,6.4843,9.5693,11.9824,0,0,3.83,2.1071,3.6886,0,0,1.0864,1.224,1.1907,0,0,0,2.771,0,0,0,0,1.3087,0,0.3215,0,0.4119,0,0,0,0,0,0,0,0,0,0,0,0.0019
"icr042191","Morijo",12,2,"Topsoil",35.82104874,-1.68677199,"icr042189",23.7031,2.9158,6.0521,8.3836,3.1647,4.0628,11.2502,13.9484,0.473,0,7.9574,3.7405,4.5468,0,0,1.1239,0.9635,1.907,0,0,2.2476,0,0,0,0,0.6651,1.2806,0,0.4745,0,0.7047,0.4318,0,0,0,0,0,0,0,0,0,0,0.0032
"icr042192","Morijo",12,2,"Subsoil",35.82104874,-1.68677199,"icr042190",17.9366,9.9069,6.3485,9.0183,2.8532,5.5505,7.4085,11.7227,0,0,3.5043,2.1572,3.7532,0,0,1.0225,1.0865,1.8537,1.8579,0,0,2.0748,0,0.4781,0,0.7878,1.6385,0,0.302,0,0.6509,0.8369,0.4025,0,0,0,6.8451,0,0,0,0,0,0.0028
"icr042204","Morijo",12,9,"Topsoil",35.81818008,-1.68444002,"icr042189",23.7031,2.9158,6.0521,8.3836,3.1647,4.0628,11.2502,13.9484,0.473,0,7.9574,3.7405,4.5468,0,0,1.1239,0.9635,1.907,0,0,2.2476,0,0,0,0,0.6651,1.2806,0,0.4745,0,0.7047,0.4318,0,0,0,0,0,0,0,0,0,0,0.0032
"icr042205","Morijo",12,9,"Subsoil",35.81818008,-1.68444002,"icr042190",17.9366,9.9069,6.3485,9.0183,2.8532,5.5505,7.4085,11.7227,0,0,3.5043,2.1572,3.7532,0,0,1.0225,1.0865,1.8537,1.8579,0,0,2.0748,0,0.4781,0,0.7878,1.6385,0,0.302,0,0.6509,0.8369,0.4025,0,0,0,6.8451,0,0,0,0,0,0.0028
"icr042239","Morijo",14,7,"Topsoil",35.84237671,-1.73143196,"icr042227",42.5829,5.8252,5.6767,7.9124,19.729,7.9994,0,0,0,0,3.5317,0,0,0,0,0,0,2.2268,0,0,0,0,4.5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr042240","Morijo",14,7,"Subsoil",35.84237671,-1.73143196,"icr042228",48.9951,4.6232,6.9471,6.8237,17.0157,7.7379,0,0,0,0,1.4769,0,0,0,0,0,0,2.0034,0,0,1.2226,0,3.1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042241","Morijo",14,8,"Topsoil",35.84387589,-1.733603,"icr042227",42.5829,5.8252,5.6767,7.9124,19.729,7.9994,0,0,0,0,3.5317,0,0,0,0,0,0,2.2268,0,0,0,0,4.5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr042242","Morijo",14,8,"Subsoil",35.84387589,-1.733603,"icr042228",48.9951,4.6232,6.9471,6.8237,17.0157,7.7379,0,0,0,0,1.4769,0,0,0,0,0,0,2.0034,0,0,1.2226,0,3.1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042267","Morijo",16,2,"Topsoil",35.85451508,-1.68508506,"icr042265",77.552,0,0,3.8317,6.3076,4.4404,5.1305,0,2.3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042268","Morijo",16,2,"Subsoil",35.85451508,-1.68508506,"icr042266",63.1513,0,0,2.639,3.1341,16.808,3.0099,6.3476,2.1796,0,0,0,2.0647,0,0,0,0,0,0,0,0,0,0,0,0.4076,0,0.2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042280","Morijo",16,9,"Topsoil",35.848,-1.68759,"icr042265",77.552,0,0,3.8317,6.3076,4.4404,5.1305,0,2.3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042281","Morijo",16,9,"Subsoil",35.848,-1.68759,"icr042266",63.1513,0,0,2.639,3.1341,16.808,3.0099,6.3476,2.1796,0,0,0,2.0647,0,0,0,0,0,0,0,0,0,0,0,0.4076,0,0.2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042282","Morijo",16,10,"Topsoil",35.8489,-1.68592,"icr042265",77.552,0,0,3.8317,6.3076,4.4404,5.1305,0,2.3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr042283","Morijo",16,10,"Subsoil",35.8489,-1.68592,"icr042266",63.1513,0,0,2.639,3.1341,16.808,3.0099,6.3476,2.1796,0,0,0,2.0647,0,0,0,0,0,0,0,0,0,0,0,0.4076,0,0.2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr048664","Madadeni",13,2,"Topsoil",30.0861,-27.6154,"icr048664",47.0949,2.9765,6.1895,16.6049,6.1661,1.7874,3.9598,3.9043,4.0466,0,3.3213,3.3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3437,0,0.3039,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04
"icr048665","Madadeni",13,2,"Subsoil",30.0861,-27.6154,"icr048665",48.9777,2.3448,5.6335,14.2141,4.6047,3.2509,0.239,7.1182,1.2792,0,3.6404,5.1407,2.2638,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0.3007,0,0.3941,0,0,0,0,0,0,0,0,0,0,0,7e-04
"icr048837","Hopetown",8,2,"Topsoil",23.933,-29.7781,"icr048837",59.6343,0,4.422,4.4559,11.7598,3.2499,2.6592,0,0,0,1.6219,5.6217,0,0,3.8286,1.63,0,0,0,0,0,0,0,0,0.8512,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0,4e-04
"icr048838","Hopetown",8,2,"Subsoil",23.933,-29.7781,"icr048838",59.0153,0,4.7348,4.4473,11.8334,2.9922,1.9483,0,3.6888,0,0.999,4.3184,0,0,3.1972,1.6009,0,0,0,0,0,0,0,0,0.8658,0,0,0,0,0,0,0,0.3582,0,0,0,0,0,0,0,0,0,4e-04
"icr050214","Martinho",5,1,"Topsoil",38.96290833,-16.17429833,"icr050214",83.0719,5.7972,0,3.5376,2.5824,0,2.4396,0,2.4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1638,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04
"icr050215","Martinho",5,1,"Subsoil",38.96290833,-16.17429833,"icr050215",72.0711,12.1727,3.3703,3.0432,2.1796,0,2.4421,0,4.4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2479,0,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04
"icr050354","Martinho",12,1,"Topsoil",38.98612833,-16.11628667,"icr050354",91.0466,0,0,4.3929,1.1237,0,1.6535,0,0,0,1.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icr050355","Martinho",12,1,"Subsoil",38.98612833,-16.11628667,"icr050355",73.9734,8.5633,2.9834,0,2.5823,2.3515,3.4474,2.6884,2.1709,0,1.2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04
"icr054175","Namasuba",1,7,"Topsoil",32.26567841,0.49293199,"icr054165",55.311,7.2284,7.8188,1.5329,0.6565,1.4753,6.3874,0,5.763,0,0.8625,1.286,0,0,1.2299,0,0.8446,2.0978,0,0,0,6.2843,0,0.4476,0,0,0,0,0.2695,0,0,0.5031,0,0,0,0,0,0,0,0,0,0,0.0015
"icr054176","Namasuba",1,7,"Subsoil",32.26567841,0.49293199,"icr054166",42.7189,9.2484,8.8079,1.8588,0,1.1719,6.7597,3.8863,0,0,0.7744,4.354,3.0763,0,0,0,1.0347,2.0032,1.8385,0,0,10.1987,0,0.3606,0,0.6839,0,0,0.342,0,0,0.5034,0,0,0,0,0,0,0.3764,0,0,0,0.0017
"icr054181","Namasuba",1,10,"Topsoil",32.26797867,0.49572,"icr054165",55.311,7.2284,7.8188,1.5329,0.6565,1.4753,6.3874,0,5.763,0,0.8625,1.286,0,0,1.2299,0,0.8446,2.0978,0,0,0,6.2843,0,0.4476,0,0,0,0,0.2695,0,0,0.5031,0,0,0,0,0,0,0,0,0,0,0.0015
"icr054182","Namasuba",1,10,"Subsoil",32.26797867,0.49572,"icr054166",42.7189,9.2484,8.8079,1.8588,0,1.1719,6.7597,3.8863,0,0,0.7744,4.354,3.0763,0,0,0,1.0347,2.0032,1.8385,0,0,10.1987,0,0.3606,0,0.6839,0,0,0.342,0,0,0.5034,0,0,0,0,0,0,0.3764,0,0,0,0.0017
"icr054188","Namasuba",2,4,"Topsoil",32.26695633,0.51490003,"icr054183",58.9801,8.5714,5.3657,1.6441,0,1.4118,4.5403,0,2.0774,0,1.6041,2.1112,2.0312,0,0,0,1.036,1.869,0,0,0,8.5198,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04
"icr054189","Namasuba",2,4,"Subsoil",32.26695633,0.51490003,"icr054184",51.3138,11.0746,7.5202,1.0441,0,0.8131,1.8137,0,6.4589,0,1.4678,4.5767,2.3173,0,0,0,0,1.9651,0,0,0,9.384,0,0,0,0,0,0,0.2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012
